Cedar Logistics export
generated;2026-09-01
InvoiceNo;LineNo;InvoiceDate;SupplierRef;SupplierName;ItemSKU;ItemDesc;QtyShipped;UnitCost;NetAmount;TaxPct;CurrencyCode;PORef;DueDt
CD-07001;1;07/16/2026;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;30;$7.45;$223.50;0;USD;PO-44883;08/15/2026
CD-07001;2;07/16/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;95;$11.90;$1,130.50;13;USD;PO-44883;08/15/2026
CD-07001;3;07/16/2026;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;59;$6.25;$368.75;0;USD;PO-44883;08/15/2026
CD-07001;4;07/16/2026;CD-3310;Cédar Logistique SA;PKG-0300;Corrugated carton 40x30x30;16;$0.84;$13.44;5;USD;PO-44883;08/15/2026
CD-07001;5;07/16/2026;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;65;$2.35;$152.75;0;USD;PO-44883;08/15/2026
CD-07002;1;07/26/2026;CD-3310;Cédar Logistique SA;PKG-0300;Corrugated carton 40x30x30;97;$0.84;$81.48;5;USD;PO-43829;08/25/2026
CD-07002;2;07/26/2026;CD-3310;Cédar Logistique SA;GLV-0550;Nitrile gloves, size L, box;12;$9.10;$109.20;13;USD;PO-43829;08/25/2026
CD-07002;3;07/26/2026;CD-3310;Cédar Logistique SA;CLN-0090;Industrial degreaser 5L;45;$23.60;$1,062.00;13;USD;PO-43829;08/25/2026
CD-07002;4;07/26/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;70;$11.90;$833.00;13;USD;PO-43829;08/25/2026
CD-07003;1;07/23/2026;CD-3310;Cédar Logistique SA;PKG-0300;Corrugated carton 40x30x30;31;$0.84;$26.04;5;USD;PO-48571;08/22/2026
CD-07003;2;07/23/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;15;$11.90;$178.50;5;USD;PO-48571;08/22/2026
CD-07003;3;07/23/2026;CD-3310;Cédar Logistique SA;CLN-0090;Industrial degreaser 5L;46;$23.60;$1,085.60;13;USD;PO-48571;08/22/2026
CD-07004;1;07/09/2026;CD-3310;Cédar Logistique SA;PAL-1200;Wooden pallet 1200x800;45;$14.00;$630.00;0;USD;PO-45216;08/08/2026
CD-07004;2;07/09/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;120;$11.90;$1,428.00;0;USD;PO-45216;08/08/2026
CD-07004;3;07/09/2026;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;52;$2.35;$122.20;0;USD;PO-45216;08/08/2026
CD-07004;4;07/09/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;92;$11.90;$1,094.80;5;USD;PO-45216;08/08/2026
CD-07004;5;07/09/2026;CD-3310;Cédar Logistique SA;GLV-0550;Nitrile gloves, size L, box;31;$9.10;$282.10;0;USD;PO-45216;08/08/2026
CD-07005;1;07/06/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;45;$11.90;$535.50;0;USD;PO-41705;08/05/2026
CD-07005;2;07/06/2026;CD-3310;Cédar Logistique SA;PAL-1200;Wooden pallet 1200x800;65;$14.00;$910.00;13;USD;PO-41705;08/05/2026
CD-07005;3;07/06/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;119;$11.90;$1,416.10;0;USD;PO-41705;08/05/2026
CD-07005;4;07/06/2026;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;105;$7.45;$782.25;5;USD;PO-41705;08/05/2026
CD-07005;5;07/06/2026;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;19;$6.25;$118.75;13;USD;PO-41705;08/05/2026
CD-07006;1;07/18/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;111;$11.90;$1,320.90;13;USD;PO-48175;08/17/2026
CD-07006;2;07/18/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;53;$11.90;$630.70;13;USD;PO-48175;08/17/2026
CD-07007;1;07/11/2026;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;5;$6.25;$31.25;0;USD;PO-41082;08/10/2026
CD-07007;2;07/11/2026;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;110;$7.45;$819.50;13;USD;PO-41082;08/10/2026
CD-07007;3;07/11/2026;CD-3310;Cédar Logistique SA;CLN-0090;Industrial degreaser 5L;9;$23.60;$212.40;0;USD;PO-41082;08/10/2026
CD-07007;4;07/11/2026;CD-3310;Cédar Logistique SA;PAL-1200;Wooden pallet 1200x800;78;$14.00;$1,092.00;0;USD;PO-41082;08/10/2026
CD-07007;5;07/11/2026;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;62;$11.90;$737.80;5;USD;PO-41082;08/10/2026
