Cedar Logistics export
generated;2026-09-01
InvoiceNo;LineNo;InvoiceDate;SupplierRef;SupplierName;ItemSKU;ItemDesc;QtyShipped;Unit Price USD;NetAmount;TaxPct;CurrencyCode;PORef;DueDt;FreightCharge
CD-08001;1;2026-08-22;CD-3310;Cédar Logistique SA;CLN-0090;Industrial degreaser 5L;68;$23.60;$1,604.80;13;USD;PO-44114;09/21/2026;$0.00
CD-08001;2;2026-08-22;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;53;$2.35;$124.55;13;USD;PO-44114;09/21/2026;$25.00
CD-08001;3;2026-08-22;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;83;$2.35;$195.05;13;USD;PO-44114;09/21/2026;$12.50
CD-08001;4;2026-08-22;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;79;$2.35;$185.65;0;USD;PO-44114;09/21/2026;$12.50
CD-08002;1;2026-08-07;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;12;$11.90;$142.80;0;USD;PO-48774;09/06/2026;$25.00
CD-08002;2;2026-08-07;CD-3310;Cédar Logistique SA;CLN-0090;Industrial degreaser 5L;61;$23.60;$1,439.60;5;USD;PO-48774;09/06/2026;$0.00
CD-08002;3;2026-08-07;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;26;$2.35;$61.10;0;USD;PO-48774;09/06/2026;$12.50
CD-08002;4;2026-08-07;CD-3310;Cédar Logistique SA;PKG-0300;Corrugated carton 40x30x30;59;$0.84;$49.56;0;USD;PO-48774;09/06/2026;$12.50
CD-08002;5;2026-08-07;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;35;$11.90;$416.50;0;USD;PO-48774;09/06/2026;$12.50
CD-08003;1;2026-08-05;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;22;$6.25;$137.50;13;USD;PO-46999;09/04/2026;$12.50
CD-08003;2;2026-08-05;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;70;$7.45;$521.50;13;USD;PO-46999;09/04/2026;$12.50
CD-08004;1;2026-08-03;CD-3310;Cédar Logistique SA;PKG-0300;Corrugated carton 40x30x30;30;$0.84;$25.20;0;USD;PO-44633;09/02/2026;$12.50
CD-08004;2;2026-08-03;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;21;$7.45;$156.45;5;USD;PO-44633;09/02/2026;$25.00
CD-08004;3;2026-08-03;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;34;$7.45;$253.30;0;USD;PO-44633;09/02/2026;$0.00
CD-08004;4;2026-08-03;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;118;$6.25;$737.50;13;USD;PO-44633;09/02/2026;$0.00
CD-08004;5;2026-08-03;CD-3310;Cédar Logistique SA;PKG-0300;Corrugated carton 40x30x30;46;$0.84;$38.64;13;USD;PO-44633;09/02/2026;$0.00
CD-08005;1;2026-08-01;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;48;$6.25;$300.00;13;USD;PO-45971;08/31/2026;$25.00
CD-08005;2;2026-08-01;CD-3310;Cédar Logistique SA;PAL-1200;Wooden pallet 1200x800;43;$14.00;$602.00;13;USD;PO-45971;08/31/2026;$12.50
CD-08005;3;2026-08-01;CD-3310;Cédar Logistique SA;FST-2040;Hex bolt M8x40, box of 100;9;$11.90;$107.10;13;USD;PO-45971;08/31/2026;$0.00
CD-08006;1;2026-08-09;CD-3310;Cédar Logistique SA;GLV-0550;Nitrile gloves, size L, box;82;$9.10;$746.20;0;USD;PO-47692;09/08/2026;$25.00
CD-08006;2;2026-08-09;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;109;$7.45;$812.05;5;USD;PO-47692;09/08/2026;$0.00
CD-08006;3;2026-08-09;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;41;$7.45;$305.45;5;USD;PO-47692;09/08/2026;$12.50
CD-08006;4;2026-08-09;CD-3310;Cédar Logistique SA;CLN-0090;Industrial degreaser 5L;93;$23.60;$2,194.80;0;USD;PO-47692;09/08/2026;$12.50
CD-08006;5;2026-08-09;CD-3310;Cédar Logistique SA;LBL-0012;Thermal shipping labels, roll;104;$6.25;$650.00;13;USD;PO-47692;09/08/2026;$12.50
CD-08007;1;2026-08-18;CD-3310;Cédar Logistique SA;GLV-0550;Nitrile gloves, size L, box;53;$9.10;$482.30;0;USD;PO-41448;09/17/2026;$0.00
CD-08007;2;2026-08-18;CD-3310;Cédar Logistique SA;TAP-0048;Packing tape 48mm, 6 pack;112;$7.45;$834.40;0;USD;PO-41448;09/17/2026;$12.50
CD-08007;3;2026-08-18;CD-3310;Cédar Logistique SA;BRK-1001;Steel bracket, zinc plated;23;$2.35;$54.05;5;USD;PO-41448;09/17/2026;$0.00
