Invoice Number,Line,Invoice Date,Vendor ID,Vendor Name,SKU,Description,Qty,Unit Price (USD),Line Total (USD),Tax %,Currency,PO Number,Due Date
NW-08001,1,2026-08-04,NW-0042,Northwind Supplies Ltd,GLV-0550,"Nitrile gloves, size L, box",48,9.10,436.80,13%,USD,PO-40667,2026-09-03
NW-08001,2,2026-08-04,NW-0042,Northwind Supplies Ltd,CLN-0090,Industrial degreaser 5L,67,23.60,1581.20,13%,USD,PO-40667,2026-09-03
NW-08001,3,2026-08-04,NW-0042,Northwind Supplies Ltd,CLN-0090,Industrial degreaser 5L,63,23.60,1486.80,13%,USD,PO-40667,2026-09-03
NW-08001,4,2026-08-04,NW-0042,Northwind Supplies Ltd,TAP-0048,"Packing tape 48mm, 6 pack",42,7.45,312.90,0%,USD,PO-40667,2026-09-03
NW-08001,5,2026-08-04,NW-0042,Northwind Supplies Ltd,TAP-0048,"Packing tape 48mm, 6 pack",28,7.45,208.60,13%,USD,PO-40667,2026-09-03
NW-08002,1,2026-08-25,NW-0042,Northwind Supplies Ltd,LBL-0012,"Thermal shipping labels, roll",57,6.25,356.25,13%,USD,PO-49061,2026-09-24
NW-08002,2,2026-08-25,NW-0042,Northwind Supplies Ltd,CLN-0090,Industrial degreaser 5L,25,23.60,590.00,0%,USD,PO-49061,2026-09-24
NW-08002,3,2026-08-25,NW-0042,Northwind Supplies Ltd,LBL-0012,"Thermal shipping labels, roll",113,6.25,706.25,13%,USD,PO-49061,2026-09-24
NW-08002,4,2026-08-25,NW-0042,Northwind Supplies Ltd,LBL-0012,"Thermal shipping labels, roll",107,6.25,668.75,0%,USD,PO-49061,2026-09-24
NW-08002,5,2026-08-25,NW-0042,Northwind Supplies Ltd,PAL-1200,Wooden pallet 1200x800,58,14.00,812.00,13%,USD,PO-49061,2026-09-24
NW-08003,1,2026-08-02,NW-0042,Northwind Supplies Ltd,PAL-1200,Wooden pallet 1200x800,15,14.00,210.00,5%,USD,PO-45563,2026-09-01
NW-08003,2,2026-08-02,NW-0042,Northwind Supplies Ltd,CLN-0090,Industrial degreaser 5L,33,23.60,778.80,13%,USD,PO-45563,2026-09-01
NW-08003,3,2026-08-02,NW-0042,Northwind Supplies Ltd,GLV-0550,"Nitrile gloves, size L, box",32,9.10,291.20,5%,USD,PO-45563,2026-09-01
NW-08003,4,2026-08-02,NW-0042,Northwind Supplies Ltd,LBL-0012,"Thermal shipping labels, roll",25,6.25,156.25,13%,USD,PO-45563,2026-09-01
NW-08003,5,2026-08-02,NW-0042,Northwind Supplies Ltd,CLN-0090,Industrial degreaser 5L,50,23.60,1180.00,13%,USD,PO-45563,2026-09-01
